plane,old_ip,new_ip
prod,10.50.0.121,10.50.12.79
prod,10.50.0.122,10.50.12.84
prod,10.50.0.123,10.50.12.89
prod,10.50.0.124,10.50.12.94
prod,10.50.0.125,10.50.12.99
prod,10.50.0.126,10.50.12.20
prod,10.50.0.127,10.50.12.25
prod,10.50.0.128,10.50.12.30
prod,10.50.0.129,10.50.12.35
prod,10.50.0.13,10.50.11.18
prod,10.50.0.130,10.50.12.40
prod,10.50.0.131,10.50.12.45
prod,10.50.0.132,10.50.12.50
prod,10.50.0.133,10.50.12.55
prod,10.50.0.134,10.50.12.60
prod,10.50.0.135,10.50.12.65
prod,10.50.0.136,10.50.12.70
prod,10.50.0.137,10.50.12.75
prod,10.50.0.138,10.50.12.80
prod,10.50.0.139,10.50.12.85
prod,10.50.0.14,10.50.11.10
prod,10.50.0.140,10.50.12.90
prod,10.50.0.141,10.50.12.95
prod,10.50.0.142,10.50.12.100
prod,10.50.0.143,10.50.12.21
prod,10.50.0.144,10.50.12.26
prod,10.50.0.145,10.50.12.31
prod,10.50.0.146,10.50.12.36
prod,10.50.0.147,10.50.12.41
prod,10.50.0.148,10.50.12.46
prod,10.50.0.149,10.50.12.51
prod,10.50.0.15,10.50.11.11
prod,10.50.0.150,10.50.12.56
prod,10.50.0.151,10.50.12.61
prod,10.50.0.152,10.50.12.66
prod,10.50.0.153,10.50.12.71
prod,10.50.0.154,10.50.12.76
prod,10.50.0.155,10.50.12.81
prod,10.50.0.156,10.50.12.86
prod,10.50.0.157,10.50.12.91
prod,10.50.0.158,10.50.12.96
prod,10.50.0.159,10.50.12.101
prod,10.50.0.16,10.50.11.12
prod,10.50.0.160,10.50.12.22
prod,10.50.0.161,10.50.12.27
prod,10.50.0.162,10.50.12.32
prod,10.50.0.163,10.50.12.37
prod,10.50.0.164,10.50.12.42
prod,10.50.0.165,10.50.12.47
prod,10.50.0.166,10.50.12.52
prod,10.50.0.167,10.50.12.57
prod,10.50.0.168,10.50.12.62
prod,10.50.0.169,10.50.12.67
prod,10.50.0.17,10.50.11.13
prod,10.50.0.170,10.50.12.72
prod,10.50.0.171,10.50.12.77
prod,10.50.0.172,10.50.12.82
prod,10.50.0.173,10.50.12.87
prod,10.50.0.174,10.50.12.92
prod,10.50.0.175,10.50.12.97
prod,10.50.0.176,10.50.12.102
prod,10.50.0.177,10.50.12.23
prod,10.50.0.178,10.50.12.28
prod,10.50.0.179,10.50.12.33
prod,10.50.0.18,10.50.11.14
prod,10.50.0.180,10.50.12.38
prod,10.50.0.181,10.50.12.43
prod,10.50.0.182,10.50.12.48
prod,10.50.0.183,10.50.12.53
prod,10.50.0.184,10.50.12.58
prod,10.50.0.185,10.50.12.63
prod,10.50.0.186,10.50.12.68
prod,10.50.0.187,10.50.12.73
prod,10.50.0.188,10.50.12.78
prod,10.50.0.189,10.50.12.83
prod,10.50.0.19,10.50.12.10
prod,10.50.0.190,10.50.12.88
prod,10.50.0.191,10.50.12.93
prod,10.50.0.192,10.50.12.98
prod,10.50.0.193,10.50.12.103
prod,10.50.0.194,10.50.11.104
prod,10.50.0.195,10.50.11.105
prod,10.50.0.196,10.50.11.106
prod,10.50.0.197,10.50.11.107
prod,10.50.0.198,10.50.11.108
prod,10.50.0.199,10.50.12.104
prod,10.50.0.2,10.50.13.16
prod,10.50.0.20,10.50.12.11
prod,10.50.0.200,10.50.12.105
prod,10.50.0.201,10.50.12.106
prod,10.50.0.202,10.50.12.107
prod,10.50.0.203,10.50.12.108
prod,10.50.0.204,10.50.23.16
prod,10.50.0.205,10.50.23.17
prod,10.50.0.206,10.50.23.12
prod,10.50.0.207,10.50.23.13
prod,10.50.0.208,10.50.23.14
prod,10.50.0.209,10.50.23.15
prod,10.50.0.21,10.50.12.12
prod,10.50.0.210,10.50.23.10
prod,10.50.0.211,10.50.23.11
prod,10.50.0.212,10.50.21.14
prod,10.50.0.213,10.50.21.16
prod,10.50.0.214,10.50.21.15
prod,10.50.0.215,10.50.21.10
prod,10.50.0.216,10.50.21.11
prod,10.50.0.217,10.50.21.12
prod,10.50.0.218,10.50.21.13
prod,10.50.0.219,10.50.22.10
prod,10.50.0.22,10.50.12.13
prod,10.50.0.220,10.50.22.11
prod,10.50.0.221,10.50.22.12
prod,10.50.0.222,10.50.22.13
prod,10.50.0.223,10.50.21.18
prod,10.50.0.224,10.50.21.22
prod,10.50.0.225,10.50.21.26
prod,10.50.0.226,10.50.21.30
prod,10.50.0.227,10.50.21.34
prod,10.50.0.228,10.50.21.38
prod,10.50.0.229,10.50.21.42
prod,10.50.0.23,10.50.12.14
prod,10.50.0.230,10.50.21.46
prod,10.50.0.231,10.50.21.50
prod,10.50.0.232,10.50.21.54
prod,10.50.0.233,10.50.21.58
prod,10.50.0.234,10.50.21.62
prod,10.50.0.235,10.50.21.66
prod,10.50.0.236,10.50.21.70
prod,10.50.0.237,10.50.21.74
prod,10.50.0.238,10.50.21.19
prod,10.50.0.239,10.50.21.23
prod,10.50.0.24,10.50.11.19
prod,10.50.0.240,10.50.21.27
prod,10.50.0.241,10.50.21.31
prod,10.50.0.242,10.50.21.35
prod,10.50.0.243,10.50.21.39
prod,10.50.0.244,10.50.21.43
prod,10.50.0.245,10.50.21.47
prod,10.50.0.246,10.50.21.51
prod,10.50.0.247,10.50.21.55
prod,10.50.0.248,10.50.21.59
prod,10.50.0.249,10.50.21.63
prod,10.50.0.25,10.50.11.24
prod,10.50.0.250,10.50.21.67
prod,10.50.0.251,10.50.21.71
prod,10.50.0.252,10.50.21.75
prod,10.50.0.253,10.50.21.20
prod,10.50.0.254,10.50.21.24
prod,10.50.0.255,10.50.21.28
prod,10.50.0.26,10.50.11.29
prod,10.50.0.27,10.50.11.34
prod,10.50.0.28,10.50.11.39
prod,10.50.0.29,10.50.11.44
prod,10.50.0.3,10.50.13.17
prod,10.50.0.30,10.50.11.49
prod,10.50.0.31,10.50.11.54
prod,10.50.0.32,10.50.11.59
prod,10.50.0.33,10.50.11.64
prod,10.50.0.34,10.50.11.69
prod,10.50.0.35,10.50.11.74
prod,10.50.0.36,10.50.11.79
prod,10.50.0.37,10.50.11.84
prod,10.50.0.38,10.50.11.89
prod,10.50.0.39,10.50.11.94
prod,10.50.0.4,10.50.13.12
prod,10.50.0.40,10.50.11.99
prod,10.50.0.41,10.50.11.20
prod,10.50.0.42,10.50.11.25
prod,10.50.0.43,10.50.11.30
prod,10.50.0.44,10.50.11.35
prod,10.50.0.45,10.50.11.40
prod,10.50.0.46,10.50.11.45
prod,10.50.0.47,10.50.11.50
prod,10.50.0.48,10.50.11.55
prod,10.50.0.49,10.50.11.60
prod,10.50.0.5,10.50.13.13
prod,10.50.0.50,10.50.11.65
prod,10.50.0.51,10.50.11.70
prod,10.50.0.52,10.50.11.75
prod,10.50.0.53,10.50.11.80
prod,10.50.0.54,10.50.11.85
prod,10.50.0.55,10.50.11.90
prod,10.50.0.56,10.50.11.95
prod,10.50.0.57,10.50.11.100
prod,10.50.0.58,10.50.11.21
prod,10.50.0.59,10.50.11.26
prod,10.50.0.6,10.50.13.14
prod,10.50.0.60,10.50.11.31
prod,10.50.0.61,10.50.11.36
prod,10.50.0.62,10.50.11.41
prod,10.50.0.63,10.50.11.46
prod,10.50.0.64,10.50.11.51
prod,10.50.0.65,10.50.11.56
prod,10.50.0.66,10.50.11.61
prod,10.50.0.67,10.50.11.66
prod,10.50.0.68,10.50.11.71
prod,10.50.0.69,10.50.11.76
prod,10.50.0.7,10.50.13.15
prod,10.50.0.70,10.50.11.81
prod,10.50.0.71,10.50.11.86
prod,10.50.0.72,10.50.11.91
prod,10.50.0.73,10.50.11.96
prod,10.50.0.74,10.50.11.101
prod,10.50.0.75,10.50.11.22
prod,10.50.0.76,10.50.11.27
prod,10.50.0.77,10.50.11.32
prod,10.50.0.78,10.50.11.37
prod,10.50.0.79,10.50.11.42
prod,10.50.0.8,10.50.13.10
prod,10.50.0.80,10.50.11.47
prod,10.50.0.81,10.50.11.52
prod,10.50.0.82,10.50.11.57
prod,10.50.0.83,10.50.11.62
prod,10.50.0.84,10.50.11.67
prod,10.50.0.85,10.50.11.72
prod,10.50.0.86,10.50.11.77
prod,10.50.0.87,10.50.11.82
prod,10.50.0.88,10.50.11.87
prod,10.50.0.89,10.50.11.92
prod,10.50.0.9,10.50.13.11
prod,10.50.0.90,10.50.11.97
prod,10.50.0.91,10.50.11.102
prod,10.50.0.92,10.50.11.23
prod,10.50.0.93,10.50.11.28
prod,10.50.0.94,10.50.11.33
prod,10.50.0.95,10.50.11.38
prod,10.50.0.96,10.50.11.43
prod,10.50.0.97,10.50.11.48
prod,10.50.0.98,10.50.11.53
prod,10.50.0.99,10.50.11.58
prod,10.50.1.0,10.50.21.32
prod,10.50.1.1,10.50.21.36
prod,10.50.1.10,10.50.21.72
prod,10.50.1.100,10.50.22.16
prod,10.50.1.101,10.50.22.15
prod,10.50.1.102,10.50.21.17
prod,10.50.1.103,10.50.22.17
prod,10.50.1.11,10.50.21.76
prod,10.50.1.12,10.50.21.21
prod,10.50.1.13,10.50.21.25
prod,10.50.1.14,10.50.21.29
prod,10.50.1.15,10.50.21.33
prod,10.50.1.16,10.50.21.37
prod,10.50.1.17,10.50.21.41
prod,10.50.1.18,10.50.21.45
prod,10.50.1.19,10.50.21.49
prod,10.50.1.2,10.50.21.40
prod,10.50.1.20,10.50.21.53
prod,10.50.1.21,10.50.21.57
prod,10.50.1.22,10.50.21.61
prod,10.50.1.23,10.50.21.65
prod,10.50.1.24,10.50.21.69
prod,10.50.1.25,10.50.21.73
prod,10.50.1.26,10.50.21.77
prod,10.50.1.27,10.50.22.18
prod,10.50.1.28,10.50.22.22
prod,10.50.1.29,10.50.22.26
prod,10.50.1.3,10.50.21.44
prod,10.50.1.30,10.50.22.30
prod,10.50.1.31,10.50.22.34
prod,10.50.1.32,10.50.22.38
prod,10.50.1.33,10.50.22.42
prod,10.50.1.34,10.50.22.46
prod,10.50.1.35,10.50.22.50
prod,10.50.1.36,10.50.22.54
prod,10.50.1.37,10.50.22.58
prod,10.50.1.38,10.50.22.62
prod,10.50.1.39,10.50.22.66
prod,10.50.1.4,10.50.21.48
prod,10.50.1.40,10.50.22.70
prod,10.50.1.41,10.50.22.74
prod,10.50.1.42,10.50.22.19
prod,10.50.1.43,10.50.22.23
prod,10.50.1.44,10.50.22.27
prod,10.50.1.45,10.50.22.31
prod,10.50.1.46,10.50.22.35
prod,10.50.1.47,10.50.22.39
prod,10.50.1.48,10.50.22.43
prod,10.50.1.49,10.50.22.47
prod,10.50.1.5,10.50.21.52
prod,10.50.1.50,10.50.22.51
prod,10.50.1.51,10.50.22.55
prod,10.50.1.52,10.50.22.59
prod,10.50.1.53,10.50.22.63
prod,10.50.1.54,10.50.22.67
prod,10.50.1.55,10.50.22.71
prod,10.50.1.56,10.50.22.75
prod,10.50.1.57,10.50.22.20
prod,10.50.1.58,10.50.22.24
prod,10.50.1.59,10.50.22.28
prod,10.50.1.6,10.50.21.56
prod,10.50.1.60,10.50.22.32
prod,10.50.1.61,10.50.22.36
prod,10.50.1.62,10.50.22.40
prod,10.50.1.63,10.50.22.44
prod,10.50.1.64,10.50.22.48
prod,10.50.1.65,10.50.22.52
prod,10.50.1.66,10.50.22.56
prod,10.50.1.67,10.50.22.60
prod,10.50.1.68,10.50.22.64
prod,10.50.1.69,10.50.22.68
prod,10.50.1.7,10.50.21.60
prod,10.50.1.70,10.50.22.72
prod,10.50.1.71,10.50.22.76
prod,10.50.1.72,10.50.22.21
prod,10.50.1.73,10.50.22.25
prod,10.50.1.74,10.50.22.29
prod,10.50.1.75,10.50.22.33
prod,10.50.1.76,10.50.22.37
prod,10.50.1.77,10.50.22.41
prod,10.50.1.78,10.50.22.45
prod,10.50.1.79,10.50.22.49
prod,10.50.1.8,10.50.21.64
prod,10.50.1.80,10.50.22.53
prod,10.50.1.81,10.50.22.57
prod,10.50.1.82,10.50.22.61
prod,10.50.1.83,10.50.22.65
prod,10.50.1.84,10.50.22.69
prod,10.50.1.85,10.50.22.73
prod,10.50.1.86,10.50.22.77
prod,10.50.1.87,10.50.21.78
prod,10.50.1.88,10.50.21.79
prod,10.50.1.89,10.50.21.80
prod,10.50.1.9,10.50.21.68
prod,10.50.1.90,10.50.21.81
prod,10.50.1.91,10.50.22.78
prod,10.50.1.92,10.50.22.79
prod,10.50.1.93,10.50.22.80
prod,10.50.1.94,10.50.22.81
prod,10.50.1.95,10.50.12.15
prod,10.50.1.96,10.50.12.17
prod,10.50.1.97,10.50.12.16
prod,10.50.1.98,10.50.12.18
prod,10.50.1.99,10.50.22.14
